Date,Open,High,Low,Close,Volume,Adj Close
2015-06-11,339.00,339.00,335.00,338.00,18000,335.42
2015-06-10,342.75,342.75,336.50,338.00,28900,335.42
2015-06-09,336.00,339.00,335.00,339.00,24600,336.41
2015-06-08,335.00,338.00,333.70,334.50,49200,331.95
2015-06-05,333.00,335.00,330.00,334.00,71900,331.45
2015-06-04,333.95,335.50,330.00,332.50,75300,329.96
2015-06-03,335.40,335.50,326.00,328.00,44500,325.50
2015-06-02,323.80,335.80,321.00,335.80,44100,333.24
2015-06-01,325.95,325.95,320.00,323.80,44900,321.33
2015-05-29,325.00,330.00,325.00,326.00,45300,323.51
2015-05-28,323.00,330.00,321.00,324.00,18700,321.53
2015-05-27,328.00,330.00,323.00,323.00,24600,320.54
2015-05-26,335.45,335.45,320.00,324.00,65000,321.53
2015-05-25,335.45,335.45,335.45,335.45,000,332.89
2015-05-22,338.00,340.00,332.00,335.45,82200,332.89
2015-05-21,346.00,348.00,340.00,340.00,33800,337.41
2015-05-20,342.00,349.00,342.00,345.50,30400,342.86
2015-05-19,349.95,351.00,344.00,346.50,52700,343.86
2015-05-18,360.00,360.00,345.00,352.40,72200,349.71
2015-05-15,360.00,361.50,358.10,361.45,30200,358.69
2015-05-14,363.00,365.00,361.95,364.00,33900,361.22
2015-05-13,371.00,374.00,360.00,362.00,45600,359.24
2015-05-12,358.00,370.00,358.00,369.50,47600,366.68
2015-05-11,362.70,364.50,356.20,358.00,27900,355.27
2015-05-08,362.00,365.00,358.00,364.00,51900,361.22
2015-05-07,360.00,364.50,358.00,361.80,41100,359.04
2015-05-06,369.00,375.75,365.00,366.00,78200,363.21
2015-05-05,369.00,374.50,367.50,368.50,79600,365.69
2015-05-04,369.00,370.00,358.00,367.00,53800,364.20
2015-05-01,361.00,361.00,361.00,361.00,000,358.25
2015-04-30,366.00,371.00,361.00,361.00,57500,358.25
2015-04-29,365.00,368.00,360.00,365.95,72900,363.16
2015-04-28,364.00,368.00,361.00,363.25,50800,360.48
2015-04-27,365.00,369.50,359.00,362.50,50600,359.74
2015-04-24,365.00,368.00,358.00,358.50,66500,355.77
2015-04-23,356.00,365.00,355.00,360.50,93900,357.75
2015-04-22,340.00,359.95,338.50,353.50,65200,350.80
2015-04-21,352.00,354.00,338.00,338.00,36400,335.42
2015-04-20,362.00,362.00,347.00,351.00,51800,348.32
2015-04-17,369.50,370.00,360.00,361.50,68300,358.74
2015-04-16,374.00,374.00,368.00,369.50,89300,366.68
2015-04-15,375.50,377.50,363.00,374.50,126300,371.64
2015-04-14,373.00,377.90,372.50,375.50,82100,372.64
2015-04-13,375.00,380.00,370.00,373.00,81900,370.16
2015-04-10,367.00,373.50,367.00,372.75,143800,369.91
2015-04-09,356.10,364.00,356.10,364.00,96200,361.22
2015-04-08,360.00,363.00,353.00,356.00,58200,353.28
2015-04-07,356.50,358.20,351.00,358.20,81800,355.47
2015-04-06,340.20,358.50,340.20,356.90,121400,354.18
2015-04-03,338.00,338.00,338.00,338.00,000,335.42
2015-04-02,338.00,338.00,338.00,338.00,000,335.42
2015-04-01,332.00,338.00,331.00,338.00,81300,335.42
2015-03-31,334.00,335.50,328.00,331.50,80000,328.97
2015-03-30,333.00,336.25,330.00,335.60,69900,333.04
2015-03-27,331.95,334.45,322.30,334.00,48500,331.45
2015-03-26,346.00,349.00,327.05,330.50,84700,327.98
2015-03-25,354.00,354.00,344.95,344.95,56700,342.32
2015-03-24,355.50,355.50,355.50,355.50,000,352.79
2015-03-23,355.50,355.50,355.50,355.50,000,352.79
2015-03-20,352.00,356.80,349.50,355.50,168300,352.79
2015-03-19,349.50,350.00,336.00,346.30,193300,343.66
2015-03-18,337.50,350.00,327.50,347.00,128700,344.35
2015-03-17,336.00,344.00,333.60,337.50,196500,334.93
2015-03-16,320.00,335.90,319.00,335.90,199900,333.34
2015-03-13,316.50,320.00,311.25,320.00,104800,317.56
2015-03-12,313.10,328.00,313.10,319.05,176700,316.62
2015-03-11,305.00,314.00,305.00,312.00,83200,309.62
2015-03-10,309.00,310.00,303.00,305.50,51000,303.17
2015-03-09,312.00,316.00,310.00,311.00,83200,308.63
2015-03-06,322.00,323.00,309.00,310.00,77900,307.64
2015-03-05,315.00,320.75,314.00,320.00,100000,317.56
2015-03-04,312.00,315.90,307.10,315.90,72500,313.49
2015-03-03,305.50,312.00,305.50,312.00,69600,309.62
2015-03-02,310.00,312.00,304.00,305.50,58700,303.17
2015-02-27,305.00,308.00,295.50,308.00,81400,305.65
2015-02-26,309.50,309.50,296.50,296.50,70200,294.24
2015-02-25,304.00,309.00,300.00,306.50,80900,304.16
2015-02-24,301.05,311.00,301.05,304.00,47000,301.68
2015-02-23,314.00,314.00,305.00,307.00,70300,304.66
2015-02-20,320.00,320.00,314.00,314.00,39000,311.61
2015-02-19,324.00,324.00,315.00,321.50,53600,319.05
2015-02-18,332.10,333.00,323.05,328.50,52300,325.99
2015-02-17,330.00,330.00,330.00,330.00,000,327.48
2015-02-16,330.00,330.00,330.00,330.00,000,327.48
2015-02-13,319.00,332.00,317.50,330.00,111400,327.48
2015-02-12,308.00,317.50,307.50,317.50,79800,315.08
2015-02-11,300.00,308.00,300.00,308.00,46200,305.65
2015-02-10,307.95,307.95,298.00,303.00,70000,300.69
2015-02-09,302.90,308.00,301.70,305.50,38600,303.17
2015-02-06,305.00,309.00,300.50,306.00,87100,303.67
2015-02-05,299.90,308.00,298.00,305.00,53200,302.67
2015-02-04,302.50,309.00,295.10,299.50,125600,297.22
2015-02-03,295.00,303.90,293.20,302.00,133000,299.70
2015-02-02,294.00,294.00,286.00,289.00,34200,286.80
2015-01-30,286.00,293.00,275.00,289.00,64100,286.80
2015-01-29,296.00,296.00,284.50,284.60,46400,282.43
2015-01-28,308.00,308.00,290.00,297.00,74900,294.73
2015-01-27,298.00,309.00,295.00,308.00,129800,305.65
2015-01-26,297.00,300.00,293.00,299.00,57900,296.72
2015-01-23,304.00,304.00,295.00,298.00,24800,295.73
2015-01-22,295.00,302.00,293.00,301.90,52900,299.60
2015-01-21,294.00,299.90,292.00,293.50,46100,291.26
2015-01-20,300.00,300.00,290.00,290.10,51800,287.89
2015-01-19,303.00,303.00,294.00,296.00,10900,293.74
2015-01-16,290.00,298.25,290.00,297.00,63000,294.73
2015-01-15,294.00,298.00,288.50,289.00,82100,286.80
2015-01-14,277.00,289.00,274.00,288.50,87600,286.30
2015-01-13,286.50,290.00,276.00,277.00,102000,274.89
2015-01-12,298.00,298.00,286.00,288.00,45100,285.80
2015-01-09,300.00,300.50,295.05,299.00,54700,296.72
2015-01-08,307.00,307.00,294.00,298.00,89400,295.73
2015-01-07,300.60,303.00,290.00,298.95,90200,296.67
2015-01-06,299.00,303.00,291.25,297.25,78100,294.98
2015-01-05,316.00,316.00,295.00,298.50,109300,296.22
2015-01-02,314.80,321.00,305.50,321.00,64600,318.55
2015-01-01,315.00,315.00,315.00,315.00,000,312.60
2014-12-31,315.00,315.00,315.00,315.00,000,312.60
2014-12-30,308.00,315.50,298.00,315.00,116300,312.60
2014-12-29,295.05,310.95,295.00,303.00,97700,300.69
2014-12-25,290.00,290.00,290.00,290.00,000,287.79
2014-12-24,290.00,290.00,290.00,290.00,000,287.79
2014-12-23,287.00,293.00,284.00,290.00,166700,287.79
2014-12-22,280.00,289.00,272.00,287.00,122200,284.81
2014-12-19,278.00,282.05,275.00,276.50,111900,274.39
2014-12-18,300.00,300.00,272.00,277.50,149400,275.38
2014-12-17,272.00,297.00,272.00,285.00,184000,282.83
2014-12-16,250.00,284.00,243.50,267.00,232400,264.96
2014-12-15,284.90,293.00,254.00,255.00,217800,253.06
2014-12-12,310.00,310.00,287.00,287.00,92500,284.81
2014-12-11,297.00,313.00,292.00,310.00,209600,307.64
2014-12-10,320.00,325.00,297.00,297.00,294200,294.73
2014-12-09,337.50,337.50,321.00,321.00,121900,318.55
2014-12-08,359.00,359.00,359.00,359.00,000,356.26
2014-12-05,374.00,376.00,359.00,359.00,81600,356.26
2014-12-04,377.90,384.85,371.00,372.00,47000,369.16
2014-12-03,368.00,380.00,368.00,378.00,70100,375.12
2014-12-02,379.00,382.00,365.00,369.50,80800,366.68
2014-12-01,385.00,393.00,372.50,380.00,109700,377.10
2014-11-28,401.00,405.00,388.00,396.50,95400,393.48
2014-11-27,420.00,422.00,412.00,414.00,40000,410.84
2014-11-26,418.10,419.70,415.50,418.50,55500,415.31
2014-11-25,413.05,424.00,413.00,418.00,83400,414.81
2014-11-24,407.90,407.90,407.90,407.90,000,404.79
2014-11-21,405.00,413.00,405.00,407.90,71300,404.79
2014-11-20,387.30,404.00,387.30,401.00,46200,397.94
2014-11-19,390.00,400.50,387.00,387.00,42800,384.05
2014-11-18,400.00,404.00,387.00,393.05,64800,390.05
2014-11-17,399.95,408.50,396.50,400.00,54400,396.95
2014-11-14,411.00,411.00,395.00,400.00,67400,396.95
2014-11-13,419.90,419.90,404.00,411.00,74500,407.87
2014-11-12,430.00,430.00,415.00,416.80,82900,413.62
2014-11-11,430.00,436.50,429.00,430.95,63400,427.66
2014-11-10,439.00,448.00,430.50,436.00,79600,432.67
2014-11-07,444.00,447.00,433.00,435.00,81500,431.68
2014-11-06,444.00,444.00,444.00,444.00,000,440.61
2014-11-05,447.00,447.00,431.50,444.00,242000,440.61
2014-11-04,475.00,475.00,442.00,447.00,251600,443.59
2014-11-03,460.00,478.00,459.75,471.00,265000,467.41
2014-10-31,439.00,459.50,432.00,459.50,139700,456.00
2014-10-30,411.00,434.90,411.00,430.00,133000,426.72
2014-10-29,419.00,419.00,409.00,413.00,73300,409.85
2014-10-28,422.00,425.00,415.50,417.00,76300,413.82
2014-10-27,424.00,425.00,413.00,420.00,66200,416.80
2014-10-24,422.00,430.00,415.00,428.00,65200,424.74
2014-10-23,437.50,441.00,418.00,419.95,103600,416.75
2014-10-22,461.00,461.00,435.00,435.50,125600,432.18
2014-10-21,449.00,452.00,433.50,448.00,114500,444.58
2014-10-20,435.00,452.00,429.50,437.50,162200,434.16
2014-10-17,427.00,435.00,423.00,430.00,221600,426.72
2014-10-16,393.00,415.00,393.00,414.00,136300,410.84
2014-10-15,399.00,401.00,380.00,400.00,193300,396.95
2014-10-14,413.90,414.00,399.00,406.00,180900,402.90
2014-10-13,417.00,417.00,417.00,417.00,000,413.82
2014-10-10,424.90,424.90,405.50,417.00,254200,413.82
